"","submission_date","state","tot_cases","new_case","tot_death","new_death","created_at"
"1",2021-03-11,"KS",297229,0,4851,0,"2021-03-12T15:20:13.190"
"2",2021-02-12,"UT",359641,1060,1785,11,"2021-02-13T14:50:08.565"
"3",2021-03-01,"CO",438745,677,5952,1,"2021-03-01T00:00:00.000"
"4",2020-02-04,"AR",0,0,0,0,"2020-03-26T16:22:39.452"
"7",2022-01-01,"UT",636992,0,3787,0,"2022-01-03T13:55:55.033"
"8",2021-05-22,"MA",704796,451,17818,5,"2021-05-23T13:37:59.772"
"10",2021-12-27,"CO",896403,10153,10077,3,"2021-12-28T17:00:54.976"
"11",2021-08-01,"GA",1187107,3829,21690,7,"2021-08-02T14:03:57.634"
"15",2020-07-20,"GA",147804,2766,3176,3,"2020-07-21T10:50:17.000"
"16",2020-05-29,"CO",25968,346,1436,15,"2020-05-29T00:00:00.000"
"17",2020-05-21,"GA",38356,687,1758,69,"2020-05-22T11:31:45.000"
"18",2020-10-13,"CO",82388,1195,2153,37,"2020-10-13T00:00:00.000"
"19",2020-04-10,"OK",2552,96,102,5,"2020-04-11T00:00:00.000"
"20",2020-03-10,"FL",20,2,3,1,"2020-03-10T00:00:00.000"
"23",2020-06-22,"CO",31177,142,1651,4,"2020-06-22T00:00:00.000"
"24",2021-06-28,"UT",414204,254,2365,2,"2021-06-29T14:25:53.077"
"25",2021-09-08,"KS",382850,1147,5693,15,"2021-09-09T14:36:12.589"
"26",2021-12-30,"HI",106350,3425,1074,0,"2021-12-31T14:32:16.906"
"27",2021-03-07,"UT",374850,412,1976,1,"2021-03-08T14:47:36.155"
"28",2021-05-30,"CO",548917,460,6580,4,"2021-05-30T00:00:00.000"
"29",2020-02-05,"KS",0,0,0,0,"2020-03-26T16:22:39.452"
"30",2020-02-28,"GA",0,0,0,0,"2020-03-26T16:22:39.452"
"31",2021-09-02,"WV",192788,1632,3117,11,"2021-09-03T13:38:30.847"
"32",2021-09-24,"GA",1557536,4300,25478,140,"2021-09-25T13:25:43.343"
"33",2020-05-22,"OK",6612,97,331,3,"2020-05-23T00:00:00.000"
"34",2021-06-27,"CO",559379,235,6777,7,"2021-06-27T00:00:00.000"
"35",2021-06-21,"MA",709443,48,17976,5,"2021-06-22T14:36:11.498"
"38",2020-04-16,"CO",8919,421,373,16,"2020-04-16T00:00:00.000"
"39",2020-10-27,"CO",102027,1498,2236,10,"2020-10-27T00:00:00.000"
"40",2021-11-14,"OK",653624,0,11072,0,"2021-11-15T15:24:41.114"
"41",2021-04-12,"UT",390289,185,2159,0,"2021-04-13T14:00:37.906"
"44",2020-11-12,"HI",16171,94,221,0,"2020-11-13T14:54:34.454"
"45",2021-05-02,"OK",449520,149,7257,1,"2021-05-03T00:00:00.000"
"46",2021-11-14,"TX",4266698,553,71624,38,"2021-11-15T15:24:41.114"
"47",2020-08-12,"GA",232148,3767,4456,105,"2020-08-13T10:12:28.000"
"48",2020-09-23,"CO",68014,620,2030,5,"2020-09-23T00:00:00.000"
"49",2021-05-09,"UT",400352,232,2224,1,"2021-05-10T14:15:36.155"
"50",2021-08-21,"WV",178361,828,3010,2,"2021-08-23T12:48:27.632"
"51",2021-10-05,"CO",680935,2280,7643,17,"2021-10-06T14:06:06.075"
"53",2021-04-23,"WV",150693,405,2813,5,"2021-04-24T14:22:34.654"
"57",2020-12-19,"UT",248970,2408,1148,8,"2020-12-20T14:32:33.200"
"58",2020-07-09,"WV",3826,119,95,0,"2020-07-10T15:35:06.524"
"59",2021-04-30,"AR",335725,196,5739,4,"2021-05-01T13:43:22.175"
"60",2022-01-05,"MA",1223354,30805,20464,54,"2022-01-06T14:32:45.907"
"61",2020-11-10,"HI",15961,69,221,1,"2020-11-11T15:15:25.262"
"62",2020-05-30,"TX",62338,1332,1905,32,"2020-06-01T00:00:00.000"
"63",2021-04-18,"AK",63580,141,341,0,"2021-04-18T00:00:00.000"
"65",2021-08-22,"FL",3076269,14622,46877,343,"2021-08-22T00:00:00.000"
"67",2020-10-10,"HI",13371,108,168,2,"2020-10-11T13:47:22.472"
"68",2021-06-15,"FL",2305780,1747,37932,24,"2021-06-15T00:00:00.000"
"69",2020-08-08,"HI",3468,151,31,1,"2020-08-09T10:03:10.000"
"70",2020-08-27,"FL",604971,3583,13791,110,"2020-08-27T00:00:00.000"
"71",2021-11-06,"TX",4243143,2469,70705,132,"2021-11-08T13:55:23.618"
"72",2022-01-06,"KS",549721,0,7059,0,"2022-01-07T15:48:33.461"
"73",2020-10-07,"MA",136492,535,9575,16,"2020-10-09T00:00:00.000"
"74",2020-11-05,"KS",92215,0,1087,0,"2020-11-06T15:33:41.082"
"76",2021-04-01,"KS",302372,0,4913,0,"2021-04-02T13:56:15.510"
"77",2022-01-07,"FL",4631941,69864,63028,14,"2022-01-07T00:00:00.000"
"78",2021-01-29,"CO",403759,1663,5594,25,"2021-01-29T00:00:00.000"
"80",2021-08-28,"MA",755227,1432,18222,3,"2021-08-30T12:49:04.183"
"81",2020-11-28,"WV",45845,799,718,6,"2020-11-29T14:49:08.286"
"83",2021-04-16,"TX",2836978,3474,49396,39,"2021-04-18T00:00:00.000"
"84",2020-12-22,"UT",255085,2302,1173,12,"2020-12-23T14:36:58.341"
"85",2020-08-20,"CO",55171,377,1903,3,"2020-08-20T00:00:00.000"
"87",2021-01-25,"HI",25209,116,339,0,"2021-01-26T14:46:01.604"
"88",2021-11-14,"UT",571507,0,3347,0,"2021-11-15T15:24:41.114"
"89",2020-03-26,"GA",1843,303,60,13,"2020-03-26T12:22:39.000"
"91",2021-11-13,"TX",4266084,3849,71586,84,"2021-11-15T13:35:54.283"
"92",2020-08-06,"CO",50503,409,1852,1,"2020-08-06T00:00:00.000"
"93",2020-02-23,"OK",10,0,0,0,"2020-02-24T00:00:00.000"
"94",2021-12-10,"GA",1678746,1959,30823,25,"2021-12-11T14:24:24.165"
"95",2020-10-02,"WV",16307,283,355,1,"2020-10-03T13:39:53.719"
"96",2021-08-20,"KS",356065,1338,5494,38,"2021-08-21T13:25:01.728"
"97",2021-01-12,"AK",49152,158,298,0,"2021-01-12T00:00:00.000"
"100",2021-07-10,"UT",419388,412,2395,2,"2021-07-12T13:16:46.339"
"101",2021-01-03,"WV",91058,1731,1376,3,"2021-01-04T14:55:45.964"
"105",2020-08-06,"TX",467485,7598,11195,230,"2020-08-08T00:00:00.000"
"107",2021-11-21,"UT",582929,0,3428,0,"2021-11-22T15:21:21.914"
"108",2021-08-26,"OK",542412,3338,7878,21,"2021-08-27T14:08:03.941"
"110",2020-03-22,"UT",169,44,1,1,"2020-03-26T16:22:39.452"
"114",2020-11-16,"MA",190439,2164,10417,30,"2020-11-18T00:00:00.000"
"115",2020-05-03,"MA",68087,1824,4591,140,"2020-05-05T00:00:00.000"
"117",2021-08-25,"OK",539074,4152,7857,22,"2021-08-26T14:58:37.450"
"118",2021-02-28,"UT",371235,465,1935,6,"2021-03-01T15:21:38.478"
"119",2020-10-22,"FL",759005,3692,17680,41,"2020-10-22T00:00:00.000"
"121",2021-06-17,"CO",556132,355,6713,4,"2021-06-17T00:00:00.000"
"122",2020-05-15,"AK",390,1,11,0,"2020-05-15T00:00:00.000"
"123",2020-02-24,"AK",0,0,0,0,"2020-03-26T16:22:39.452"
"124",2021-10-23,"KS",428816,0,6211,0,"2021-10-25T15:25:56.107"
"126",2020-10-19,"CO",89225,1208,2180,4,"2020-10-19T00:00:00.000"
"127",2020-08-26,"TX",592137,5407,14272,104,"2020-08-28T00:00:00.000"
"128",2020-11-27,"AR",153677,1052,2436,0,"2020-11-28T14:46:47.693"
"129",2020-01-23,"KS",0,0,0,0,"2020-03-26T16:22:39.452"
"130",2020-07-31,"AR",42511,752,453,11,"2020-08-01T14:38:12.337"
"132",2021-02-14,"WV",127588,306,2210,9,"2021-02-15T14:46:24.739"
"133",2020-03-23,"TX",287,24,14,2,"2020-03-25T00:00:00.000"
"134",2021-06-12,"UT",409364,357,2323,4,"2021-06-13T13:40:53.785"
"139",2021-02-04,"MA",533921,2804,15078,64,"2021-02-06T00:00:00.000"
"140",2021-04-07,"TX",2804798,4544,49026,45,"2021-04-09T00:00:00.000"
"143",2020-06-26,"AR",18740,678,249,7,"2020-06-27T17:51:58.649"
"144",2021-03-10,"TX",2699589,4863,47416,101,"2021-03-12T00:00:00.000"
"145",2020-03-15,"AR",16,4,0,0,"2020-03-26T16:22:39.452"
"146",2020-11-18,"UT",162028,3071,740,8,"2020-11-19T15:01:36.742"
"147",2021-11-11,"TX",4259194,3767,71186,324,"2021-11-12T17:03:41.531"
"151",2020-02-10,"AK",0,0,0,0,"2020-03-26T16:22:39.452"
"153",2021-09-15,"KS",393696,1833,5801,28,"2021-09-16T14:24:46.593"
"154",2021-05-05,"KS",310115,235,4999,14,"2021-05-06T14:14:04.113"
"155",2021-02-04,"WV",123044,574,2080,22,"2021-02-05T14:54:41.938"
"156",2021-07-25,"CO",572082,563,6918,4,"2021-07-25T00:00:00.000"
"157",2020-12-01,"AR",159309,1950,2512,10,"2020-12-02T15:48:48.293"
"158",2020-05-09,"AK",378,1,10,0,"2020-05-09T00:00:00.000"
"159",2020-03-26,"MA",2417,579,43,10,"2020-03-28T00:00:00.000"
"162",2021-02-18,"WV",128760,355,2236,11,"2021-02-19T15:33:51.934"
"163",2020-04-22,"MA",42944,1745,2796,154,"2020-04-24T00:00:00.000"
"164",2021-01-18,"KS",259822,3688,3525,23,"2021-01-19T14:37:00.036"
"165",2020-12-19,"GA",582300,5763,10381,49,"2020-12-20T14:32:33.200"
"168",2020-12-14,"WV",64394,1177,978,10,"2020-12-15T14:39:02.350"
"170",2021-04-13,"FL",2099392,6666,35079,44,"2021-04-13T00:00:00.000"
"171",2021-07-12,"GA",1141159,589,21499,5,"2021-07-13T14:26:25.742"
"173",2020-10-13,"TX",800256,5130,17741,71,"2020-10-15T00:00:00.000"
"174",2021-11-18,"KS",452909,0,6634,0,"2021-11-19T15:04:49.744"
"177",2020-04-30,"MA",62205,1940,4125,145,"2020-05-02T00:00:00.000"
"178",2021-11-05,"MA",861480,1767,19087,18,"2021-11-06T13:17:26.097"
"179",2020-08-18,"AK",4381,66,50,0,"2020-08-18T00:00:00.000"
"180",2020-09-09,"FL",643608,2532,15150,99,"2020-09-09T00:00:00.000"
"183",2020-04-06,"GA",7388,739,319,100,"2020-04-05T12:22:39.000"
"184",2020-03-12,"WV",0,0,0,0,"2020-03-26T16:22:39.452"
"185",2021-06-01,"AK",67507,26,362,0,"2021-06-02T14:35:40.709"
"186",2020-05-17,"MA",86010,1077,6268,83,"2020-05-19T00:00:00.000"
"187",2020-05-05,"FL",36755,584,1702,39,"2020-05-05T00:00:00.000"
"190",2020-10-19,"AK",11226,202,91,0,"2020-10-19T00:00:00.000"
"191",2021-04-07,"AK",61747,217,340,0,"2021-04-07T00:00:00.000"
"192",2020-07-05,"MA",104502,111,8224,18,"2020-07-07T00:00:00.000"
"194",2021-04-30,"GA",1100187,1464,20190,32,"2021-05-01T13:43:22.175"
"195",2020-11-21,"UT",173979,3395,787,14,"2020-11-22T15:02:23.399"
"197",2021-04-02,"UT",386550,422,2131,6,"2021-04-03T13:51:09.290"
"199",2021-03-24,"UT",382733,562,2082,5,"2021-03-25T14:25:23.209"
"200",2020-11-21,"AK",26322,671,171,3,"2020-11-21T00:00:00.000"
"202",2021-02-05,"WV",123641,597,2100,20,"2021-02-06T16:05:17.977"
"203",2021-06-21,"FL",2315139,1772,38091,21,"2021-06-21T00:00:00.000"
"204",2020-10-09,"WV",17707,382,376,6,"2020-10-10T13:30:17.102"
"205",2021-10-15,"TX",4156151,6033,67477,275,"2021-10-16T13:26:43.774"
"207",2021-10-22,"KS",428816,947,6211,26,"2021-10-23T13:42:15.801"
"208",2022-01-03,"OK",720961,12023,11555,0,"2022-01-04T14:43:16.993"
"209",2020-11-01,"FL",798505,2662,18148,39,"2020-11-01T00:00:00.000"
"211",2021-09-29,"GA",1573840,4435,25933,176,"2021-09-30T14:57:48.020"
"212",2020-10-06,"FL",710776,2491,16851,61,"2020-10-06T00:00:00.000"
"213",2021-11-17,"AR",521553,828,8595,3,"2021-11-18T16:58:36.538"
"215",2021-12-22,"UT",622414,1406,3749,11,"2021-12-23T14:39:18.960"
"218",2021-03-30,"OK",442119,245,7146,9,"2021-03-31T00:00:00.000"
"219",2020-01-28,"MA",0,0,0,0,"2020-03-26T16:22:39.452"
"220",2020-11-01,"AK",15757,359,116,0,"2020-11-01T00:00:00.000"
"223",2020-06-20,"AK",750,21,16,0,"2020-06-20T00:00:00.000"
"224",2021-12-08,"FL",3707761,2598,62275,12,"2021-12-08T00:00:00.000"
"225",2021-04-01,"CO",471818,1665,6117,10,"2021-04-01T00:00:00.000"
"226",2020-11-22,"HI",17039,120,231,2,"2020-11-23T15:04:35.152"
"227",2021-02-22,"OK",430526,429,6819,22,"2021-02-23T00:00:00.000"
"229",2020-05-18,"GA",36117,662,1642,36,"2020-05-19T11:45:23.000"
"230",2020-04-06,"MA",13837,1337,460,80,"2020-04-08T00:00:00.000"
"231",2022-01-07,"HI",130605,3520,1090,3,"2022-01-08T14:31:47.092"
"232",2020-07-28,"HI",1840,110,26,0,"2020-07-29T10:34:46.000"
"234",2021-07-07,"HI",36714,34,515,0,"2021-07-08T14:26:57.178"
"235",2020-11-06,"FL",823044,4344,18389,48,"2020-11-06T00:00:00.000"
"236",2021-10-13,"KS",421462,1061,6151,9,"2021-10-14T14:14:59.386"
"237",2020-01-27,"FL",0,0,0,0,"2020-03-26T16:22:39.452"
"238",2021-02-07,"GA",940991,3589,15092,2,"2021-02-08T14:53:12.094"
"241",2020-10-30,"TX",893451,6631,19360,124,"2020-11-01T00:00:00.000"
"242",2020-07-24,"AK",2259,57,30,0,"2020-07-24T00:00:00.000"
"244",2021-12-22,"WV",317540,1149,5242,31,"2021-12-23T14:39:18.960"
"245",2021-09-29,"AK",108608,968,546,4,"2021-09-30T14:57:48.020"
"246",2021-04-21,"OK",447176,220,7236,5,"2021-04-22T00:00:00.000"
"247",2021-09-13,"AR",475647,646,7298,31,"2021-09-14T14:22:50.463"
"248",2020-10-28,"MA",154218,1181,9977,20,"2020-10-30T00:00:00.000"
"249",2021-07-17,"TX",3027139,3566,51640,30,"2021-07-19T13:20:07.101"
"250",2021-02-18,"UT",364399,1151,1813,7,"2021-02-19T15:33:51.934"
"251",2021-09-04,"GA",1440189,6475,23175,55,"2021-09-06T13:20:57.768"
"252",2021-08-29,"HI",60094,1658,586,2,"2021-08-30T14:26:22.672"
"254",2020-07-08,"FL",228010,8840,4585,136,"2020-07-08T00:00:00.000"
"255",2021-04-03,"UT",386997,447,2132,1,"2021-04-04T13:43:43.841"
"256",2020-06-05,"WV",2119,17,84,5,"2020-06-06T14:31:37.908"
"258",2020-07-03,"AK",1065,45,18,0,"2020-07-03T00:00:00.000"
"259",2021-08-30,"TX",3561407,9880,55404,33,"2021-08-31T14:57:22.851"
"260",2021-05-18,"AR",339162,313,5805,9,"2021-05-19T14:37:49.094"
"261",2021-04-16,"MA",669282,2216,17455,9,"2021-04-18T00:00:00.000"
"262",2021-11-03,"OK",647637,1501,10929,18,"2021-11-04T15:01:34.477"
"264",2020-07-08,"OK",25217,1040,471,4,"2020-07-09T00:00:00.000"
"265",2020-12-15,"MA",298160,3929,11587,45,"2020-12-17T00:00:00.000"
"266",2020-02-13,"KS",0,0,0,0,"2020-03-26T16:22:39.452"
"267",2021-11-27,"GA",1661591,700,30358,0,"2021-11-29T13:20:44.042"
"268",2020-10-23,"AR",104135,1337,1782,10,"2020-10-24T13:26:44.189"
"270",2022-01-03,"MA",1173704,33090,20315,42,"2022-01-04T14:43:16.993"
"271",2020-05-18,"FL",45417,612,2207,24,"2020-05-18T00:00:00.000"
"272",2020-08-20,"HI",6048,230,45,2,"2020-08-21T10:27:34.000"
"274",2021-04-09,"OK",444432,210,7194,7,"2021-04-10T00:00:00.000"
"275",2021-08-02,"CO",578677,628,6956,5,"2021-08-02T00:00:00.000"
"276",2021-09-17,"KS",396907,1606,5865,64,"2021-09-18T13:43:14.051"
"277",2020-04-11,"TX",12561,890,386,35,"2020-04-13T00:00:00.000"
"278",2021-04-12,"CO",488140,974,6157,0,"2021-04-12T00:00:00.000"
"279",2021-03-04,"AK",56823,127,326,0,"2021-03-04T00:00:00.000"
"281",2021-12-14,"AR",539483,782,8880,15,"2021-12-15T14:52:52.349"
"282",2020-12-07,"WV",56128,1131,841,3,"2020-12-08T14:59:49.759"
"283",2020-03-18,"MA",256,38,2,2,"2020-03-20T00:00:00.000"
"284",2021-09-02,"HI",62860,1060,602,4,"2021-09-03T13:38:30.847"
"287",2021-08-10,"TX",3245115,17401,52555,84,"2021-08-11T15:30:51.957"
"289",2021-08-01,"OK",485771,1404,7524,9,"2021-08-02T14:03:57.634"
"290",2021-09-17,"AK",96002,870,454,1,"2021-09-18T13:43:14.051"
"292",2020-08-17,"OK",53136,324,873,14,"2020-08-18T00:00:00.000"
"293",2020-03-25,"AR",306,76,2,0,"2020-03-26T16:22:39.452"
"294",2021-05-13,"KS",311521,183,5029,0,"2021-05-14T14:07:22.113"
"295",2020-07-30,"MA",109400,304,8611,10,"2020-08-01T00:00:00.000"
"296",2020-11-12,"FL",855604,6735,18725,56,"2020-11-12T00:00:00.000"
"297",2021-01-01,"HI",21258,232,287,1,"2021-01-02T14:50:51.219"
"299",2021-02-26,"MA",577980,1987,16129,42,"2021-02-28T00:00:00.000"
"300",2021-04-07,"KS",303767,540,4932,5,"2021-04-08T13:46:50.786"
"301",2021-04-09,"AR",331882,178,5661,-1,"2021-04-10T13:45:46.495"
"303",2020-05-17,"AK",398,4,11,0,"2020-05-17T00:00:00.000"
"304",2021-05-08,"AK",66196,76,343,0,"2021-05-09T13:43:24.481"
"306",2020-07-11,"MA",105457,167,8334,11,"2020-07-13T00:00:00.000"
"307",2021-09-25,"HI",75391,394,742,0,"2021-09-27T13:21:43.831"
"308",2021-10-20,"HI",80139,134,871,0,"2021-10-21T13:44:20.341"
"309",2020-04-01,"AK",141,13,6,0,"2020-04-01T00:00:00.000"
"310",2020-12-31,"MA",375178,7260,12613,84,"2021-01-02T00:00:00.000"
"314",2021-10-14,"TX",4149312,5852,67202,190,"2021-10-15T13:51:07.670"
"315",2020-05-22,"AR",5612,154,113,3,"2020-05-23T17:58:16.000"
"316",2020-05-25,"AR",6029,107,117,1,"2020-05-26T14:23:02.020"
"317",2020-08-13,"OK",50953,778,815,18,"2020-08-14T00:00:00.000"
"318",2020-06-10,"MA",100158,203,7625,35,"2020-06-12T00:00:00.000"
"319",2021-02-13,"CO",422692,1148,5814,24,"2021-02-13T00:00:00.000"
"320",2021-10-15,"UT",529147,1493,3067,17,"2021-10-16T13:26:43.774"
"321",2021-11-04,"TX",4236624,3127,70432,139,"2021-11-05T14:19:47.220"
"325",2021-09-17,"WV",219439,2320,3370,57,"2021-09-18T13:43:14.051"
"326",2020-04-02,"UT",1165,153,7,0,"2020-04-01T16:22:39.452"
"327",2020-03-28,"GA",2592,225,79,14,"2020-03-28T12:22:39.000"
"328",2021-03-19,"GA",1042417,1600,18464,44,"2021-03-20T14:03:21.260"
"329",2021-02-12,"TX",2541845,12502,43902,194,"2021-02-14T00:00:00.000"
"330",2022-01-01,"MA",1140614,0,20273,0,"2022-01-03T13:55:55.033"
"331",2021-12-21,"MA",1026129,6447,19927,62,"2021-12-22T14:47:22.436"
"332",2021-09-28,"OK",611885,1500,8970,21,"2021-09-29T15:04:06.936"
"334",2020-09-16,"AR",72219,862,1157,154,"2020-09-17T13:45:45.666"
"335",2020-06-02,"HI",646,1,17,0,"2020-06-03T10:11:36.000"
"336",2020-10-05,"KS",62708,1597,706,8,"2020-10-06T13:33:58.026"
"339",2021-05-30,"KS",314207,105,5076,0,"2021-05-31T13:43:43.522"
"340",2020-06-30,"OK",19014,836,438,2,"2020-07-01T00:00:00.000"
"341",2020-09-04,"HI",9655,219,81,2,"2020-09-05T10:09:45.000"
"342",2020-03-29,"OK",1476,88,25,3,"2020-03-30T00:00:00.000"
"344",2021-12-08,"HI",85536,72,1028,6,"2021-12-09T14:45:23.102"
"345",2021-12-14,"OK",680617,0,11336,0,"2021-12-15T14:52:52.349"
"346",2020-12-03,"UT",206165,3945,917,11,"2020-12-04T15:00:59.537"
"347",2021-08-31,"WV",189690,1030,3084,10,"2021-09-01T14:27:14.242"
"348",2022-01-13,"OK",796987,11227,11740,0,"2022-01-14T14:51:43.996"
"349",2020-08-07,"WV",7433,156,127,3,"2020-08-08T14:58:44.922"
"350",2021-02-19,"GA",980411,3679,16610,207,"2021-02-20T14:45:37.694"
"351",2020-04-04,"OK",2053,90,56,10,"2020-04-05T00:00:00.000"
"352",2020-01-23,"AK",0,0,0,0,"2020-03-26T16:22:39.452"
"353",2021-11-19,"HI",83684,198,987,6,"2021-11-20T14:50:36.735"
"354",2021-06-21,"TX",2975787,86,51333,19,"2021-06-23T00:00:00.000"
"355",2021-04-24,"WV",151068,375,2817,4,"2021-04-25T13:42:01.135"
"361",2021-10-12,"FL",3608117,2581,60040,105,"2021-10-12T00:00:00.000"
"362",2021-11-01,"OK",646136,1452,10911,117,"2021-11-02T13:48:33.224"
"363",2020-03-13,"FL",51,20,3,0,"2020-03-13T00:00:00.000"
"364",2021-05-11,"KS",311132,205,5016,0,"2021-05-12T14:33:56.412"
"365",2020-10-10,"AK",9464,231,80,1,"2020-10-10T00:00:00.000"
"367",2020-07-08,"HI",1109,34,19,0,"2020-07-09T11:14:15.000"
"369",2020-11-09,"TX",1038964,4849,20675,147,"2020-11-11T00:00:00.000"
"374",2021-01-11,"UT",307483,1484,1396,4,"2021-01-12T14:48:35.544"
"375",2021-12-17,"KS",497789,4297,6909,14,"2021-12-18T14:58:45.027"
"376",2020-05-12,"TX",41048,1179,1389,33,"2020-05-14T00:00:00.000"
"378",2021-12-20,"GA",1700763,9089,31038,44,"2021-12-21T17:31:35.018"
"379",2021-01-15,"UT",320102,2543,1472,12,"2021-01-16T14:46:10.803"
"380",2020-04-23,"KS",2482,271,112,2,"2020-05-25T15:38:40.000"
"381",2020-07-03,"AR",22622,547,281,2,"2020-07-04T15:30:31.943"
"382",2021-06-30,"OK",458180,329,7393,3,"2021-07-01T14:29:33.934"
"383",2021-12-11,"UT",610681,0,3640,0,"2021-12-13T13:44:32.797"
"384",2021-09-10,"TX",3787220,23245,58332,400,"2021-09-11T13:20:03.309"
"385",2020-08-28,"FL",608083,3112,13930,139,"2020-08-28T00:00:00.000"
"386",2021-05-30,"TX",2943700,384,50909,26,"2021-06-01T00:00:00.000"
"387",2021-09-22,"FL",3523597,6376,57105,235,"2021-09-22T00:00:00.000"
"389",2020-09-14,"CO",62983,401,1990,2,"2020-09-14T00:00:00.000"
"392",2021-11-28,"WV",293389,620,4817,0,"2021-11-29T14:21:14.169"
"393",2021-01-11,"OK",361443,1998,5201,56,"2021-01-12T00:00:00.000"
"395",2020-12-10,"UT",225946,3401,1016,21,"2020-12-11T15:06:51.565"
"396",2021-11-13,"AR",519453,590,8562,2,"2021-11-15T13:35:54.283"
"398",2021-12-22,"CO",877507,3723,10038,34,"2021-12-23T14:39:18.960"
"399",2020-10-13,"HI",13538,61,173,4,"2020-10-14T13:28:39.858"
"400",2020-04-20,"CO",10280,316,448,27,"2020-04-20T00:00:00.000"
"401",2020-02-15,"FL",0,0,0,0,"2020-03-26T16:22:39.452"
"402",2021-03-10,"AR",325700,317,5382,25,"2021-03-11T15:36:21.295"
"403",2020-10-19,"AR",99597,531,1714,10,"2020-10-20T14:59:27.967"
"404",2021-02-21,"CO",430387,913,5892,5,"2021-02-21T00:00:00.000"
"405",2021-08-26,"KS",364047,1726,5535,0,"2021-08-27T14:08:03.941"
"408",2021-12-06,"OK",673202,975,11272,0,"2021-12-07T14:35:03.419"
"409",2020-09-16,"AK",6444,50,59,0,"2020-09-16T00:00:00.000"
"410",2021-05-01,"MA",690279,1306,17617,7,"2021-05-03T00:00:00.000"
"412",2021-05-20,"WV",159450,301,2769,2,"2021-05-21T14:08:46.635"
"413",2022-01-12,"TX",5223323,75817,75533,136,"2022-01-13T14:34:51.057"
"414",2021-10-28,"HI",81168,117,886,2,"2021-10-29T14:10:26.857"
"415",2021-11-27,"FL",3687586,1056,62017,26,"2021-11-27T00:00:00.000"
"416",2020-06-06,"WV",2136,17,84,0,"2020-06-07T14:23:35.373"
"417",2021-07-09,"CO",563677,460,6837,10,"2021-07-09T00:00:00.000"
"421",2021-04-27,"HI",32397,48,476,1,"2021-04-28T15:20:12.714"
"422",2021-04-27,"UT",396004,327,2186,3,"2021-04-28T15:20:12.714"
"424",2021-07-22,"CO",570080,752,6901,6,"2021-07-22T00:00:00.000"
"425",2021-05-27,"KS",313720,0,5067,0,"2021-05-28T13:29:21.497"
"426",2021-09-23,"OK",604391,1230,8772,10,"2021-09-24T13:56:18.107"
"428",2021-10-30,"WV",271871,887,4426,0,"2021-11-01T12:51:18.861"
"429",2021-01-26,"TX",2273119,26274,39787,327,"2021-01-28T00:00:00.000"
"430",2020-11-28,"CO",237737,4922,2983,6,"2020-11-28T00:00:00.000"
"431",2020-03-28,"UT",588,122,2,0,"2020-03-28T16:22:39.452"
"432",2020-06-08,"KS",10650,257,236,4,"2020-06-09T16:49:08.000"
"433",2020-06-28,"GA",77596,2186,2778,2,"2020-06-29T10:37:31.000"
"434",2020-06-27,"AR",19310,570,259,10,"2020-06-28T14:59:02.728"
"435",2021-09-03,"AK",86598,570,435,0,"2021-09-04T13:18:29.647"
"436",2021-08-08,"FL",2778059,15237,42181,236,"2021-08-08T00:00:00.000"
"439",2020-06-11,"FL",68624,1632,3031,32,"2020-06-11T00:00:00.000"
"442",2021-10-14,"MA",831662,1789,18816,14,"2021-10-15T13:51:07.670"
"443",2020-12-27,"KS",209689,0,2507,0,"2020-12-28T14:42:49.996"
"445",2020-12-12,"AR",184252,2628,2911,36,"2020-12-13T14:31:19.849"
"446",2021-07-02,"HI",36508,73,515,0,"2021-07-03T13:44:06.775"
"447",2021-08-13,"HI",47612,1149,544,1,"2021-08-14T14:46:52.851"
"450",2021-12-18,"CO",866477,0,9862,0,"2021-12-20T14:01:33.649"
"452",2021-07-25,"UT",428119,567,2431,2,"2021-07-26T13:52:25.259"
"453",2021-07-29,"AK",72021,264,379,0,"2021-07-30T14:36:41.067"
"454",2020-09-02,"KS",43940,1328,458,12,"2020-09-03T14:18:16.891"
"455",2021-07-28,"AK",71757,236,379,2,"2021-07-29T13:49:46.674"
"456",2021-09-08,"CO",632172,1580,7242,16,"2021-09-08T00:00:00.000"
"458",2020-05-17,"KS",7886,0,172,0,"2020-05-18T16:01:54.000"
"461",2020-11-30,"WV",47842,845,735,6,"2020-12-01T15:26:07.492"
"462",2021-12-29,"UT",633429,3303,3781,7,"2021-12-30T14:41:22.486"
"463",2021-04-09,"MA",655278,2312,17387,18,"2021-04-11T00:00:00.000"
"464",2021-12-14,"GA",1683676,1770,30882,22,"2021-12-15T14:52:52.349"
"465",2021-05-24,"AR",340186,49,5820,3,"2021-05-25T14:17:06.810"
"466",2020-06-20,"WV",2500,32,88,0,"2020-06-21T14:32:57.913"
"468",2020-09-07,"AR",66280,348,908,14,"2020-09-08T14:47:00.875"
"469",2021-05-04,"CO",524114,1421,6321,15,"2021-05-04T00:00:00.000"
"470",2020-04-04,"MA",11736,1334,312,39,"2020-04-06T00:00:00.000"
"471",2021-04-05,"MA",646220,2988,17341,11,"2021-04-07T00:00:00.000"
"472",2021-11-14,"FL",3669102,1034,61711,29,"2021-11-14T00:00:00.000"
"473",2020-07-13,"CO",37919,369,1727,2,"2020-07-13T00:00:00.000"
"474",2021-06-14,"AR",344067,103,5863,2,"2021-06-15T14:44:13.999"
