"","submission_date","state","tot_cases","new_case","tot_death","new_death","created_at"
"8240",2020-02-11,"NM",0,0,0,0,"2020-03-26T16:22:39.452"
"8241",2020-02-01,"SD",0,0,0,0,"2020-03-26T16:22:39.452"
"8242",2020-06-22,"TN",34849,590,526,2,"2020-06-21T00:00:00.000"
"8243",2020-10-13,"NY",225406,848,9117,4,"2020-10-14T13:28:39.858"
"8245",2020-07-17,"TN",71869,2947,796,13,"2020-07-16T00:00:00.000"
"8246",2021-08-04,"NY",1177993,1526,19996,5,"2021-08-05T14:32:13.471"
"8247",2020-07-06,"IA",31657,304,723,2,"2020-07-07T14:58:02.598"
"8248",2021-05-27,"TN",858316,496,12428,22,"2021-05-26T00:00:00.000"
"8250",2020-11-22,"NM",81896,2456,1317,33,"2020-11-24T00:00:00.000"
"8251",2021-10-01,"TN",1230978,3304,15205,56,"2021-09-30T00:00:00.000"
"8252",2020-07-15,"TN",67000,2104,767,18,"2020-07-14T00:00:00.000"
"8253",2020-11-19,"SD",69742,1071,705,31,"2020-11-20T15:06:16.717"
"8254",2021-11-13,"NY",1486783,5095,21775,15,"2021-11-15T13:35:54.283"
"8255",2021-01-19,"SD",105786,127,1667,0,"2021-01-20T14:44:03.544"
"8256",2020-04-13,"NM",1345,100,31,5,"2020-04-15T00:00:00.000"
"8257",2020-11-02,"NY",246572,992,9282,9,"2020-11-03T14:57:05.887"
"8258",2020-02-27,"IA",0,0,0,0,"2020-03-26T16:22:39.452"
"8259",2020-07-01,"PA",91712,658,6712,25,"2020-07-01T00:00:00.000"
"8262",2021-11-19,"PA",1674328,7604,32825,96,"2021-11-20T14:50:36.735"
"8263",2020-05-13,"NM",5364,152,228,12,"2020-05-15T00:00:00.000"
"8264",2021-11-12,"SD",159343,521,2281,4,"2021-11-13T14:31:27.149"
"8266",2021-01-12,"NM",157974,887,2695,28,"2021-01-14T00:00:00.000"
"8267",2020-06-29,"IA",28782,293,708,3,"2020-06-30T15:27:33.712"
"8268",2021-10-19,"IA",476426,2210,6848,100,"2021-10-20T14:03:53.515"
"8269",2020-07-09,"SD",7336,94,101,3,"2020-07-10T15:35:06.524"
"8270",2020-11-07,"PA",234809,3928,9015,40,"2020-11-07T00:00:00.000"
"8271",2020-04-11,"IA",1510,122,34,3,"2020-04-10T16:22:39.452"
"8273",2021-08-31,"IA",406568,1821,6268,0,"2021-09-01T14:27:14.242"
"8274",2021-07-02,"TN",866503,303,12571,3,"2021-07-01T00:00:00.000"
"8275",2021-06-17,"NM",204577,105,4307,5,"2021-06-19T00:00:00.000"
"8276",2020-10-30,"IA",125025,2670,1706,10,"2020-10-31T13:30:31.395"
"8277",2021-10-18,"NY",1400717,2316,21407,21,"2021-10-19T15:01:15.717"
"8279",2021-03-14,"IA",342776,281,5641,8,"2021-03-15T14:03:45.324"
"8280",2021-09-28,"IA",451492,2454,6482,0,"2021-09-29T15:04:06.936"
"8281",2021-04-18,"NM",195274,203,3890,0,"2021-04-20T00:00:00.000"
"8282",2020-05-01,"NM",3513,102,131,8,"2020-05-03T00:00:00.000"
"8283",2020-05-01,"NY",138624,1730,5442,97,"2020-05-02T15:47:19.352"
"8284",2021-02-18,"PA",912580,3268,23413,94,"2021-02-18T00:00:00.000"
"8285",2021-03-22,"SD",115972,105,1923,0,"2021-03-23T14:05:18.025"
"8287",2021-07-22,"IA",377013,287,6170,0,"2021-07-23T13:48:31.666"
"8288",2021-09-26,"TN",1214483,1873,14934,34,"2021-09-25T00:00:00.000"
"8289",2020-08-09,"PA",124101,802,7314,1,"2020-08-09T00:00:00.000"
"8291",2020-04-21,"IA",3641,482,83,4,"2020-04-21T16:22:39.452"
"8293",2022-01-10,"NY",2245340,22513,24256,56,"2022-01-11T14:42:53.294"
"8294",2021-11-02,"NM",278509,674,5073,12,"2021-11-04T00:00:00.000"
"8295",2020-01-30,"TN",0,0,0,0,"2020-03-26T16:22:39.452"
"8296",2021-11-25,"NY",1547652,6762,22067,24,"2021-11-26T14:12:52.035"
"8297",2022-01-15,"SD",203137,0,2559,0,"2022-01-17T14:19:13.740"
"8298",2021-06-29,"SD",124521,9,2033,3,"2021-06-30T14:11:39.088"
"8299",2021-08-29,"TN",1034807,6181,13409,15,"2021-08-28T00:00:00.000"
"8300",2021-01-06,"NY",603543,11025,13281,118,"2021-01-07T14:56:59.705"
"8301",2021-10-14,"SD",149678,341,2182,5,"2021-10-15T13:51:07.670"
"8302",2020-11-26,"NM",89796,1694,1400,17,"2020-11-28T00:00:00.000"
"8303",2020-01-22,"SD",0,0,0,0,"2020-03-26T16:22:39.452"
"8304",2021-03-20,"SD",115723,205,1922,3,"2021-03-21T13:54:01.052"
"8305",2020-06-04,"IA",20804,696,580,6,"2020-06-05T15:17:07.242"
"8306",2020-03-30,"OH",1933,280,39,10,"2020-03-29T16:22:39.452"
"8307",2020-05-25,"TN",20225,331,336,7,"2020-05-24T00:00:00.000"
"8308",2020-12-13,"PA",499920,9779,12565,129,"2020-12-13T00:00:00.000"
"8309",2020-09-18,"OH",142596,1011,4608,28,"2020-09-19T14:00:26.273"
"8311",2021-04-01,"OH",1020041,2475,18611,0,"2021-04-02T13:56:15.510"
"8312",2021-06-29,"TN",865486,110,12564,7,"2021-06-28T00:00:00.000"
"8313",2021-02-02,"SD",108431,116,1779,1,"2021-02-03T14:55:58.025"
"8316",2020-12-25,"OH",653650,0,8456,0,"2020-12-26T14:34:18.488"
"8317",2020-10-08,"NM",31756,384,846,2,"2020-10-10T00:00:00.000"
"8318",2020-08-05,"PA",120854,754,7244,12,"2020-08-05T00:00:00.000"
"8319",2020-08-20,"NY",196515,328,8918,4,"2020-08-21T14:27:34.675"
"8320",2021-12-21,"NM",340604,710,5662,48,"2021-12-22T14:47:22.436"
"8322",2021-11-02,"NY",1442927,2295,21800,14,"2021-11-03T13:51:46.667"
"8323",2021-02-16,"NY",877624,3053,17440,44,"2021-02-17T14:51:58.706"
"8324",2021-12-14,"TN",1341440,1803,17818,50,"2021-12-13T00:00:00.000"
"8325",2020-12-13,"SD",91038,631,1259,16,"2020-12-14T14:36:45.302"
"8326",2021-11-14,"IA",503564,0,7166,0,"2021-11-15T15:24:41.114"
"8327",2022-01-04,"TN",1462905,9297,20952,50,"2022-01-03T00:00:00.000"
"8328",2021-07-11,"IA",374855,92,6149,0,"2021-07-12T14:22:55.239"
"8329",2021-09-27,"SD",143183,129,2129,2,"2021-09-28T14:30:08.010"
"8330",2020-06-03,"TN",24523,644,381,14,"2020-06-02T00:00:00.000"
"8331",2020-09-28,"OH",151802,993,4746,5,"2020-09-29T13:50:42.951"
"8332",2021-05-24,"IA",370715,90,6035,0,"2021-05-25T14:17:06.810"
"8333",2021-12-21,"IA",562463,2112,7799,119,"2021-12-22T14:47:22.436"
"8334",2020-03-25,"NM",112,12,1,1,"2020-03-27T00:00:00.000"
"8335",2021-02-27,"SD",112293,186,1886,7,"2021-02-28T14:48:18.530"
"8336",2020-10-18,"PA",188405,1285,8492,26,"2020-10-18T00:00:00.000"
"8337",2020-07-13,"OH",66853,1261,3064,6,"2020-07-14T15:13:07.425"
"8338",2021-05-04,"NM",198576,204,3971,10,"2021-05-06T00:00:00.000"
"8339",2021-07-26,"SD",125138,38,2041,0,"2021-07-27T14:48:23.791"
"8340",2021-11-13,"TN",1295629,1189,16676,8,"2021-11-12T00:00:00.000"
"8341",2021-10-15,"PA",1502124,5725,30418,82,"2021-10-16T13:26:43.774"
"8342",2020-10-28,"NY",240130,1194,9239,13,"2020-10-29T14:11:33.577"
"8343",2020-03-18,"OH",88,21,0,0,"2020-03-26T16:22:39.452"
"8344",2020-11-10,"IA",161803,3899,1874,24,"2020-11-11T15:15:25.262"
"8345",2021-02-28,"NM",185132,244,3601,15,"2021-03-02T00:00:00.000"
"8346",2020-08-20,"TN",135867,1334,1452,26,"2020-08-19T00:00:00.000"
"8347",2022-01-10,"NM",378363,9250,6020,37,"2022-01-11T14:42:53.294"
"8348",2020-06-03,"PA",77488,538,5817,75,"2020-06-03T00:00:00.000"
"8349",2020-12-29,"NY",528633,6868,12354,91,"2020-12-30T14:56:20.759"
"8350",2021-05-25,"PA",1203512,1155,27085,42,"2021-05-25T00:00:00.000"
"8351",2021-11-09,"OH",1580271,4952,25282,215,"2021-11-10T15:25:35.567"
"8353",2020-03-30,"TN",1542,102,7,1,"2020-03-29T00:00:00.000"
"8354",2020-11-13,"IA",176695,5452,1949,18,"2020-11-14T14:44:40.037"
"8356",2022-01-02,"TN",1445993,7744,20881,0,"2022-01-01T00:00:00.000"
"8357",2020-12-22,"NY",479498,6260,11679,120,"2020-12-23T14:36:58.341"
"8358",2020-01-25,"OH",0,0,0,0,"2020-03-26T16:22:39.452"
"8359",2020-08-11,"PA",125582,835,7352,35,"2020-08-11T00:00:00.000"
"8360",2020-06-23,"NY",176029,282,8627,14,"2020-06-24T15:03:27.381"
"8362",2021-03-20,"NM",189560,186,3777,7,"2021-03-22T00:00:00.000"
"8363",2021-10-29,"IA",486132,2396,6965,0,"2021-10-30T13:29:20.544"
"8364",2021-03-18,"SD",115203,237,1919,4,"2021-03-19T14:25:43.135"
"8365",2020-03-21,"OH",247,78,3,2,"2020-03-26T16:22:39.452"
"8366",2020-07-14,"SD",7572,48,109,0,"2020-07-15T15:05:12.266"
"8367",2021-09-19,"TN",1188060,3991,14412,14,"2021-09-18T00:00:00.000"
"8368",2020-10-08,"SD",26441,535,274,14,"2020-10-09T13:43:36.023"
"8369",2021-06-17,"IA",372896,59,6109,0,"2021-06-17T00:00:00.000"
"8370",2020-07-20,"NY",185623,235,8792,5,"2020-07-21T14:50:17.717"
"8371",2020-08-24,"TN",142056,810,1567,4,"2020-08-23T00:00:00.000"
"8372",2021-06-16,"TN",863265,307,12506,2,"2021-06-15T00:00:00.000"
"8373",2021-10-25,"TN",1274759,589,16183,8,"2021-10-24T00:00:00.000"
"8374",2022-01-15,"IA",645410,0,8201,0,"2022-01-17T14:19:13.740"
